,up,down,left,right
"(2,9)",-2.952,-3.68928,-3.68928,-2.952
"(2,1)",-2.44,-3.3616,-3.3616,-2.44
"(2,1)",-1.8,-2.952,-2.952,-1.8
"(2,1)",-1.0,-2.44,-2.44,-1.8
"(3,0)",-4.94235392477,-4.90992800745,-4.92794240596,-4.90992800745
"(3,1)",-4.92794240596,-4.88741000932,-4.88741000932,-4.88741000932
"(3,2)",-4.90992800745,-4.85926251164,-4.88741000932,-4.85926251164
"(3,3)",-4.88741000932,-4.82407813956,-4.88741000932,-4.82407813956
"(3,4)",-4.85926251164,-4.78009767444,-4.85926251164,-146.859262512
"(3,5)",-143.0,-143.0,-4.82407813956,-143.0
"(3,6)",-257.4,-146.57050327,-146.725122093,-146.1611392
"(3,7)",-145.951424,-146.32891136,-259.92891136,-3.951424
"(3,8)",-3.68928,-4.1611392,-146.1611392,-3.68928
"(3,9)",-3.3616,-3.951424,-3.951424,-3.3616
"(3,1)",-2.952,-3.68928,-3.68928,-2.952
"(3,1)",-2.44,-3.3616,-3.3616,-2.44
"(3,1)",-1.8,-2.952,-2.952,-2.44
"(4,0)",-4.90992800745,-4.88741000932,-4.90992800745,-4.88741000932
"(4,1)",-4.90992800745,-4.85926251164,-4.90992800745,-4.85926251164
"(4,2)",-4.88741000932,-4.82407813956,-4.88741000932,-4.82407813956
"(4,3)",-4.85926251164,-4.78009767444,-4.78009767444,-4.78009767444
"(4,4)",-4.82407813956,-4.72512209306,-4.82407813956,-146.725122093
"(4,5)",-146.859262512,-4.65640261632,-4.78009767444,-146.32891136
"(4,6)",-259.92891136,-4.5705032704,-143.8,-146.32891136
"(4,7)",-146.1611392,-4.463129088,-146.656402616,-4.1611392
"(4,8)",-3.951424,-4.32891136,-146.32891136,-3.951424
"(4,9)",-3.68928,-4.1611392,-4.1611392,-3.68928
"(4,1)",-3.3616,-3.951424,-3.951424,-3.3616
"(4,1)",-2.952,-3.68928,-3.68928,-2.952
"(4,1)",-2.44,-3.3616,-3.3616,-2.952
"(5,0)",-4.90992800745,-4.90992800745,-4.88741000932,-4.85926251164
"(5,1)",-4.88741000932,-4.88741000932,-4.88741000932,-4.82407813956
"(5,2)",-4.85926251164,-4.85926251164,-4.85926251164,-4.78009767444
"(5,3)",-4.82407813956,-4.82407813956,-4.82407813956,-4.72512209306
"(5,4)",-4.78009767444,-4.78009767444,-4.78009767444,-4.65640261632
"(5,5)",-146.725122093,-146.725122093,-4.72512209306,-4.5705032704
"(5,6)",-146.656402616,-146.656402616,-4.65640261632,-4.463129088
"(5,7)",-146.32891136,-146.57050327,-4.5705032704,-4.32891136
"(5,8)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(5,9)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(5,1)",-3.68928,-4.1611392,-4.1611392,-3.68928
"(5,1)",-3.3616,-3.68928,-3.951424,-3.3616
"(5,1)",-2.952,-3.68928,-3.68928,-3.3616
"(6,0)",-4.88741000932,-4.92794240596,-4.90992800745,-4.88741000932
"(6,1)",-4.85926251164,-4.90992800745,-4.90992800745,-4.85926251164
"(6,2)",-4.82407813956,-4.88741000932,-4.82407813956,-4.82407813956
"(6,3)",-4.78009767444,-4.85926251164,-4.85926251164,-4.78009767444
"(6,4)",-4.72512209306,-4.82407813956,-4.82407813956,-146.725122093
"(6,5)",-4.65640261632,-146.859262512,-4.78009767444,-143.0
"(6,6)",-4.5705032704,-143.0,-143.8,-146.57050327
"(6,7)",-4.463129088,-143.0,-146.656402616,-4.463129088
"(6,8)",-4.32891136,-4.5705032704,-146.57050327,-4.32891136
"(6,9)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(6,1)",-3.951424,-4.32891136,-3.951424,-3.951424
"(6,1)",-3.68928,-3.951424,-4.1611392,-3.68928
"(6,1)",-3.3616,-3.951424,-3.951424,-3.3616
"(7,0)",-4.90992800745,-4.94235392477,-4.92794240596,-4.90992800745
"(7,1)",-4.88741000932,-4.92794240596,-4.92794240596,-4.88741000932
"(7,2)",-4.85926251164,-4.88741000932,-4.90992800745,-4.85926251164
"(7,3)",-4.82407813956,-4.88741000932,-4.88741000932,-4.82407813956
"(7,4)",-4.78009767444,-4.85926251164,-4.85926251164,-146.859262512
"(7,5)",-143.0,-146.887410009,-4.82407813956,-143.0
"(7,6)",-146.656402616,-257.4,-146.859262512,-146.656402616
"(7,7)",-143.0,-143.0,-260.325122093,-4.5705032704
"(7,8)",-4.463129088,-4.65640261632,-146.656402616,-4.463129088
"(7,9)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(7,1)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(7,1)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(7,1)",-3.68928,-3.951424,-4.1611392,-3.951424
"(8,0)",-4.92794240596,-4.92794240596,-4.92794240596,-4.92794240596
"(8,1)",-4.90992800745,-4.90992800745,-4.92794240596,-4.90992800745
"(8,2)",-4.88741000932,-4.88741000932,-4.92794240596,-4.88741000932
"(8,3)",-4.85926251164,-4.90992800745,-4.90992800745,-4.85926251164
"(8,4)",-4.82407813956,-4.88741000932,-4.88741000932,-146.887410009
"(8,5)",-146.859262512,-143.0,-4.85926251164,-143.0
"(8,6)",-257.4,-257.4,-146.887410009,-146.725122093
"(8,7)",-146.656402616,-143.0,-260.380097674,-4.65640261632
"(8,8)",-4.5705032704,-4.72512209306,-146.725122093,-4.5705032704
"(8,9)",-4.463129088,-4.463129088,-4.65640261632,-4.463129088
"(8,1)",-4.32891136,-4.463129088,-4.5705032704,-4.32891136
"(8,1)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(8,1)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(9,0)",-4.94235392477,-4.95388313982,-4.94235392477,-4.94235392477
"(9,1)",-4.92794240596,-4.94235392477,-4.94235392477,-4.92794240596
"(9,2)",-4.90992800745,-4.94235392477,-4.92794240596,-4.90992800745
"(9,3)",-4.88741000932,-4.88741000932,-4.88741000932,-4.88741000932
"(9,4)",-4.85926251164,-4.90992800745,-4.90992800745,-146.909928007
"(9,5)",-146.887410009,-143.0,-4.88741000932,-143.0
"(9,6)",-257.4,-257.4,-146.909928007,-146.780097674
"(9,7)",-146.725122093,-143.0,-143.0,-4.72512209306
"(9,8)",-4.65640261632,-4.78009767444,-146.780097674,-4.65640261632
"(9,9)",-4.5705032704,-4.72512209306,-4.65640261632,-4.5705032704
"(9,1)",-4.463129088,-4.5705032704,-4.65640261632,-4.463129088
"(9,1)",-4.32891136,-4.5705032704,-4.463129088,-4.32891136
"(9,1)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(1,0)",-4.95388313982,-4.95388313982,-4.95388313982,-4.95388313982
"(1,0)",-4.94235392477,-4.94235392477,-4.95388313982,-4.94235392477
"(1,0)",-4.92794240596,-4.92794240596,-4.95388313982,-4.92794240596
"(1,0)",-4.90992800745,-4.90992800745,-4.94235392477,-4.90992800745
"(1,0)",-4.88741000932,-4.90992800745,-4.88741000932,-145.951424
"(1,0)",-143.8,-144.44,-4.90992800745,-143.0
"(1,0)",-257.4,-260.256402616,-146.927942406,-146.82407814
"(1,0)",-143.0,-143.0,-143.0,-4.78009767444
"(1,0)",-4.72512209306,-4.78009767444,-146.82407814,-4.72512209306
"(1,0)",-4.65640261632,-4.65640261632,-4.78009767444,-4.65640261632
"(1,0)",-4.5705032704,-4.5705032704,-4.65640261632,-4.5705032704
"(1,0)",-4.463129088,-4.463129088,-4.5705032704,-4.463129088
"(1,0)",-4.32891136,-4.463129088,-4.5705032704,-4.463129088
